Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hand_base_link,-0.00146451938108689,-0.00151888155879073,0.0427990524649812,0,0,0,0.0570701007302751,6.41476396285827E-05,4.13588892205773E-07,2.93582919010314E-06,3.34589534848391E-05,2.49418020553825E-06,3.60802311069806E-05,0,0,0,0,0,0,meshes/hand_base_link.STL,0,0.6,0,1,0,0,0,0,0,0,meshes/hand_base_link.STL,,O30i右手模型-1/233.sldasm-Part-66-1;O30i右手模型-1/233.sldasm-Part-68-1;O30i右手模型-1/233.sldasm-Part-65-1;O30i右手模型-1/233.sldasm-Part-64-1;O30i右手模型-1/233.sldasm-Part-23-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_metacarpals_base1,-0.0105118326494666,0.000531037250757874,0.000201233410709316,0,0,0,0.00628309017011841,4.40315685893602E-07,-1.47599709046314E-08,-8.54509113883151E-09,2.23456411184308E-07,2.25125857386092E-09,5.23701836165457E-07,0,0,0,0,0,0,meshes/thumb_metacarpals_base1.STL,0.584313725490196,1,0.270588235294118,1,0,0,0,0,0,0,meshes/thumb_metacarpals_base1.STL,,O30i右手模型-1/装配体2^O30i右手模型-1/233.sldasm-Part-1-1;O30i右手模型-1/装配体2^O30i右手模型-1/圆角1-1;O30i右手模型-1/装配体2^O30i右手模型-1/233.sldasm-Part-2-1,坐标系1,基准轴1,thumb_cmc_roll,revolute,0.018722,0.016674,0.024272,0,0,0,hand_base_link,1,0,0,1,1,0,0.77,,,,,,,,
thumb_metacarpals_base2,3.50793983951991E-05,0.0307325068539125,0.000377698493481092,0,0,0,0.0124355946309777,1.85557953127413E-06,-1.34202004276246E-08,3.40784805164981E-10,7.3232007789305E-07,-1.04440143780077E-07,1.79341397866876E-06,0,0,0,0,0,0,meshes/thumb_metacarpals_base2.STL,0.6,0.4,0.2,1,0,0,0,0,0,0,meshes/thumb_metacarpals_base2.STL,,O30i右手模型-1/装配体1^O30i右手模型-1/233.sldasm-Part-3-1;O30i右手模型-1/装配体1^O30i右手模型-1/圆角1-1-1;O30i右手模型-1/装配体1^O30i右手模型-1/233.sldasm-Part-10-1,坐标系2,基准轴2,thumb_cmc_yaw,revolute,-0.00475,0.016238,-0.00059587,0,0,0,thumb_metacarpals_base1,0,0,1,1,1,0,1.63,,,,,,,,
thumb_proximal,0.000105705672182835,0.0206142627358541,-0.00506839782178824,0,0,0,0.00973720424636687,1.01074814614493E-06,2.50764613880781E-09,-1.74226307591624E-10,5.24186920744717E-07,1.68407924898363E-08,1.02072874531995E-06,0,0,0,0,0,0,meshes/thumb_proximal.STL,0.6,0.4,0.2,1,0,0,0,0,0,0,meshes/thumb_proximal.STL,,O30i右手模型-1/装配体1^O30i右手模型-1/233.sldasm-Part-7-1;O30i右手模型-1/装配体1^O30i右手模型-1/233.sldasm-Part-9-1;O30i右手模型-1/装配体1^O30i右手模型-1/切除-拉伸2-1;O30i右手模型-1/装配体1^O30i右手模型-1/233.sldasm-Part-8-1,坐标系3,基准轴3,thumb_mcp,revolute,-5.4077E-05,0.052039,0.0059395,0,0,0,thumb_metacarpals_base2,-1,0,0,1,1,0,1.51,,,,,,,,
thumb_distal,-4.60564973558085E-05,0.0112290094697628,-0.00403269076475772,0,0,0,0.0033703198194942,1.76894970099447E-07,-1.29532349747695E-10,5.66062141751448E-11,1.15948905078769E-07,-1.03138565159848E-08,1.66156539801434E-07,0,0,0,0,0,0,meshes/thumb_distal.STL,0.690196078431373,0.690196078431373,0.690196078431373,1,0,0,0,0,0,0,meshes/thumb_distal.STL,,O30i右手模型-1/装配体1^O30i右手模型-1/233.sldasm-Part-5-1;O30i右手模型-1/装配体1^O30i右手模型-1/233.sldasm-Part-6-1,坐标系4,基准轴4,thumb_ip,revolute,4.8488E-05,0.040032,-0.0005,0,0,0,thumb_proximal,-1,0,0,1,1,0,1.66,,,,,,,,
index_metacarpals,-0.0106040258094052,-5.13953894481882E-05,-0.00136151819442749,0,0,0,0.00661261244742178,4.53652866123246E-07,1.66679020586885E-08,-1.26712149811549E-08,5.30500427518365E-07,4.56960905410225E-10,2.56538210441828E-07,0,0,0,0,0,0,meshes/index_metacarpals.STL,0.286274509803922,1,0.196078431372549,1,0,0,0,0,0,0,meshes/index_metacarpals.STL,,O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-14-1;O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-67-1;O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-24-1;O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-22-1,坐标系5,基准轴5,index_mcp_roll,revolute,0.018722,0.029679,0.075158,0,0,0,hand_base_link,1,0,0,1,1,-0.07,0.4,,,,,,,,
index_proximal,-0.0043709621275504,2.16385333159826E-05,0.0216063163265681,0,0,0,0.00727256326100808,6.59424988535241E-07,1.15369816881374E-10,-2.43455022025729E-08,7.06690330759988E-07,-1.75709839767273E-10,3.18019337389962E-07,0,0,0,0,0,0,meshes/index_proximal.STL,0.690196078431373,0.690196078431373,0.690196078431373,1,0,0,0,0,0,0,meshes/index_proximal.STL,,O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-19-1;O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-12-1;O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-16-1;O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-18-1,坐标系6,基准轴6,index_mcp_pitch,revolute,-0.00475,0.00059587,0.016238,0,0,0,index_metacarpals,0,-1,0,1,1,0,1.77,,,,,,,,
index_middle,-0.00412829489374895,4.33935129848899E-05,0.0217078554898162,0,0,0,0.00678023137976301,6.77930682969668E-07,1.0022443161073E-10,-7.34914379088131E-09,7.24200285246171E-07,6.8455968172179E-11,2.95854297824364E-07,0,0,0,0,0,0,meshes/index_middle.STL,0.690196078431373,0.690196078431373,0.690196078431373,1,0,0,0,0,0,0,meshes/index_middle.STL,,O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-11-1;O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-13-1;O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-21-1;O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-15-1,坐标系7,基准轴7,index_pip,revolute,0,0,0.039681,0,0,0,index_proximal,0,-1,0,1,1,0,1.63,,,,,,,,
index_distal,-0.00405260592933677,2.92010642392003E-05,0.0113571507781909,0,0,0,0.0033098791304967,1.64002168413707E-07,-3.45038659319342E-12,-9.24432368435003E-09,1.74779055176355E-07,3.79661625368079E-12,1.1460476210935E-07,0,0,0,0,0,0,meshes/index_distal.STL,0.6,0.4,0.2,1,0,0,0,0,0,0,meshes/index_distal.STL,,O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-17-1;O30i右手模型-1/装配体3^O30i右手模型-2/233.sldasm-Part-20-1,坐标系8,基准轴8,index_dip,revolute,0,0,0.040244,0,0,0,index_middle,0,-1,0,1,1,1,1.55,,,,,,,,
middle_metacarpals,-0.0106040258093801,-5.13953895135309E-05,-0.00136151819462214,0,0,0,0.00661261244742176,4.53652866122421E-07,1.6667902059155E-08,-1.26712149847738E-08,5.30500427517202E-07,4.5696090563867E-10,2.56538210441734E-07,0,0,0,0,0,0,meshes/middle_metacarpals.STL,0.4,0.2,0.8,1,0,0,0,0,0,0,meshes/middle_metacarpals.STL,,O30i右手模型-1/装配体3^O30i右手模型-1/233.sldasm-Part-67-1;O30i右手模型-1/装配体3^O30i右手模型-1/233.sldasm-Part-14-1;O30i右手模型-1/装配体3^O30i右手模型-1/233.sldasm-Part-24-1;O30i右手模型-1/装配体3^O30i右手模型-1/233.sldasm-Part-22-1,坐标系9,基准轴9,middle_mcp_roll,revolute,0.018722,0.0086937,0.081586,0,0,0,hand_base_link,1,0,0,1,1,-0.26,0.38,,,,,,,,
